files,sample_accession
HRR233672_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233672/HRR233672_f1.fastq.gz,HRS170422
HRR233672_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233672/HRR233672_r2.fastq.gz,HRS170422
HRR233673_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233673/HRR233673_f1.fastq.gz,HRS170423
HRR233673_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233673/HRR233673_r2.fastq.gz,HRS170423
HRR233674_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233674/HRR233674_f1.fastq.gz,HRS170424
HRR233674_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233674/HRR233674_r2.fastq.gz,HRS170424
HRR233675_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233675/HRR233675_f1.fastq.gz,HRS170425
HRR233675_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233675/HRR233675_r2.fastq.gz,HRS170425
HRR233676_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233676/HRR233676_f1.fastq.gz,HRS170426
HRR233676_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233676/HRR233676_r2.fastq.gz,HRS170426
HRR233677_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233677/HRR233677_f1.fastq.gz,HRS170427
HRR233677_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233677/HRR233677_r2.fastq.gz,HRS170427
HRR233678_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233678/HRR233678_f1.fastq.gz,HRS170428
HRR233678_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233678/HRR233678_r2.fastq.gz,HRS170428
HRR233679_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233679/HRR233679_f1.fastq.gz,HRS170429
HRR233679_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233679/HRR233679_r2.fastq.gz,HRS170429
HRR233680_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233680/HRR233680_f1.fastq.gz,HRS170430
HRR233680_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233680/HRR233680_r2.fastq.gz,HRS170430
HRR233681_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233681/HRR233681_f1.fastq.gz,HRS170431
HRR233681_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233681/HRR233681_r2.fastq.gz,HRS170431
HRR233682_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233682/HRR233682_f1.fastq.gz,HRS170432
HRR233682_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233682/HRR233682_r2.fastq.gz,HRS170432
HRR233683_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233683/HRR233683_f1.fastq.gz,HRS170433
HRR233683_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233683/HRR233683_r2.fastq.gz,HRS170433
HRR233684_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233684/HRR233684_f1.fastq.gz,HRS170434
HRR233684_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233684/HRR233684_r2.fastq.gz,HRS170434
HRR233685_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233685/HRR233685_f1.fastq.gz,HRS170435
HRR233685_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233685/HRR233685_r2.fastq.gz,HRS170435
HRR233686_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233686/HRR233686_f1.fastq.gz,HRS170436
HRR233686_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233686/HRR233686_r2.fastq.gz,HRS170436
HRR233687_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233687/HRR233687_f1.fastq.gz,HRS170437
HRR233687_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233687/HRR233687_r2.fastq.gz,HRS170437
HRR233688_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233688/HRR233688_f1.fastq.gz,HRS170438
HRR233688_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233688/HRR233688_r2.fastq.gz,HRS170438
HRR233689_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233689/HRR233689_f1.fastq.gz,HRS170439
HRR233689_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233689/HRR233689_r2.fastq.gz,HRS170439
HRR233690_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233690/HRR233690_f1.fastq.gz,HRS170440
HRR233690_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233690/HRR233690_r2.fastq.gz,HRS170440
HRR233691_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233691/HRR233691_f1.fastq.gz,HRS170441
HRR233691_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233691/HRR233691_r2.fastq.gz,HRS170441
HRR233692_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233692/HRR233692_f1.fastq.gz,HRS170442
HRR233692_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233692/HRR233692_r2.fastq.gz,HRS170442
HRR233693_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233693/HRR233693_f1.fastq.gz,HRS170443
HRR233693_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233693/HRR233693_r2.fastq.gz,HRS170443
HRR233694_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233694/HRR233694_f1.fastq.gz,HRS170444
HRR233694_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233694/HRR233694_r2.fastq.gz,HRS170444
HRR233695_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233695/HRR233695_f1.fastq.gz,HRS170445
HRR233695_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233695/HRR233695_r2.fastq.gz,HRS170445
HRR233696_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233696/HRR233696_f1.fastq.gz,HRS170446
HRR233696_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233696/HRR233696_r2.fastq.gz,HRS170446
HRR233697_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233697/HRR233697_f1.fastq.gz,HRS170447
HRR233697_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233697/HRR233697_r2.fastq.gz,HRS170447
HRR233698_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233698/HRR233698_f1.fastq.gz,HRS170448
HRR233698_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233698/HRR233698_r2.fastq.gz,HRS170448
HRR233699_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233699/HRR233699_f1.fastq.gz,HRS170449
HRR233699_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233699/HRR233699_r2.fastq.gz,HRS170449
HRR233700_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233700/HRR233700_f1.fastq.gz,HRS170450
HRR233700_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233700/HRR233700_r2.fastq.gz,HRS170450
HRR233701_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233701/HRR233701_f1.fastq.gz,HRS170451
HRR233701_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233701/HRR233701_r2.fastq.gz,HRS170451
HRR233702_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233702/HRR233702_f1.fastq.gz,HRS170452
HRR233702_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233702/HRR233702_r2.fastq.gz,HRS170452
HRR233703_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233703/HRR233703_f1.fastq.gz,HRS170453
HRR233703_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233703/HRR233703_r2.fastq.gz,HRS170453
HRR233704_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233704/HRR233704_f1.fastq.gz,HRS170454
HRR233704_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233704/HRR233704_r2.fastq.gz,HRS170454
HRR233705_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233705/HRR233705_f1.fastq.gz,HRS170455
HRR233705_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233705/HRR233705_r2.fastq.gz,HRS170455
HRR233706_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233706/HRR233706_f1.fastq.gz,HRS170456
HRR233706_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233706/HRR233706_r2.fastq.gz,HRS170456
HRR233707_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233707/HRR233707_f1.fastq.gz,HRS170457
HRR233707_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233707/HRR233707_r2.fastq.gz,HRS170457
HRR233708_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233708/HRR233708_f1.fastq.gz,HRS170458
HRR233708_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233708/HRR233708_r2.fastq.gz,HRS170458
HRR233709_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233709/HRR233709_f1.fastq.gz,HRS170459
HRR233709_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233709/HRR233709_r2.fastq.gz,HRS170459
HRR233710_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233710/HRR233710_f1.fastq.gz,HRS170460
HRR233710_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233710/HRR233710_r2.fastq.gz,HRS170460
HRR233711_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233711/HRR233711_f1.fastq.gz,HRS170461
HRR233711_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233711/HRR233711_r2.fastq.gz,HRS170461
HRR233712_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233712/HRR233712_f1.fastq.gz,HRS170462
HRR233712_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233712/HRR233712_r2.fastq.gz,HRS170462
HRR233713_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233713/HRR233713_f1.fastq.gz,HRS170463
HRR233713_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233713/HRR233713_r2.fastq.gz,HRS170463
HRR233714_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233714/HRR233714_f1.fastq.gz,HRS170464
HRR233714_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233714/HRR233714_r2.fastq.gz,HRS170464
HRR233715_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233715/HRR233715_f1.fastq.gz,HRS170465
HRR233715_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233715/HRR233715_r2.fastq.gz,HRS170465
HRR233716_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233716/HRR233716_f1.fastq.gz,HRS170466
HRR233716_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233716/HRR233716_r2.fastq.gz,HRS170466
HRR233717_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233717/HRR233717_f1.fastq.gz,HRS170467
HRR233717_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233717/HRR233717_r2.fastq.gz,HRS170467
HRR233718_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233718/HRR233718_f1.fastq.gz,HRS170468
HRR233718_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233718/HRR233718_r2.fastq.gz,HRS170468
HRR233719_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233719/HRR233719_f1.fastq.gz,HRS170469
HRR233719_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233719/HRR233719_r2.fastq.gz,HRS170469
HRR233720_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233720/HRR233720_f1.fastq.gz,HRS170470
HRR233720_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233720/HRR233720_r2.fastq.gz,HRS170470
HRR233721_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233721/HRR233721_f1.fastq.gz,HRS170471
HRR233721_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233721/HRR233721_r2.fastq.gz,HRS170471
HRR233722_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233722/HRR233722_f1.fastq.gz,HRS170472
HRR233722_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233722/HRR233722_r2.fastq.gz,HRS170472
HRR233723_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233723/HRR233723_f1.fastq.gz,HRS170473
HRR233723_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233723/HRR233723_r2.fastq.gz,HRS170473
HRR233724_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233724/HRR233724_f1.fastq.gz,HRS170474
HRR233724_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233724/HRR233724_r2.fastq.gz,HRS170474
HRR233725_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233725/HRR233725_f1.fastq.gz,HRS170475
HRR233725_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233725/HRR233725_r2.fastq.gz,HRS170475
HRR233726_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233726/HRR233726_f1.fastq.gz,HRS170476
HRR233726_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233726/HRR233726_r2.fastq.gz,HRS170476
HRR233727_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233727/HRR233727_f1.fastq.gz,HRS170477
HRR233727_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233727/HRR233727_r2.fastq.gz,HRS170477
HRR233728_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233728/HRR233728_f1.fastq.gz,HRS170478
HRR233728_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233728/HRR233728_r2.fastq.gz,HRS170478
HRR233729_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233729/HRR233729_f1.fastq.gz,HRS170479
HRR233729_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233729/HRR233729_r2.fastq.gz,HRS170479
HRR233730_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233730/HRR233730_f1.fastq.gz,HRS170480
HRR233730_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233730/HRR233730_r2.fastq.gz,HRS170480
HRR233731_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233731/HRR233731_f1.fastq.gz,HRS170481
HRR233731_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233731/HRR233731_r2.fastq.gz,HRS170481
HRR233732_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233732/HRR233732_f1.fastq.gz,HRS170482
HRR233732_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233732/HRR233732_r2.fastq.gz,HRS170482
HRR233733_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233733/HRR233733_f1.fastq.gz,HRS170483
HRR233733_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233733/HRR233733_r2.fastq.gz,HRS170483
HRR233734_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233734/HRR233734_f1.fastq.gz,HRS170484
HRR233734_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233734/HRR233734_r2.fastq.gz,HRS170484
HRR233735_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233735/HRR233735_f1.fastq.gz,HRS170485
HRR233735_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233735/HRR233735_r2.fastq.gz,HRS170485
HRR233736_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233736/HRR233736_f1.fastq.gz,HRS170486
HRR233736_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233736/HRR233736_r2.fastq.gz,HRS170486
HRR233737_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233737/HRR233737_f1.fastq.gz,HRS170487
HRR233737_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233737/HRR233737_r2.fastq.gz,HRS170487
HRR233738_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233738/HRR233738_f1.fastq.gz,HRS170488
HRR233738_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233738/HRR233738_r2.fastq.gz,HRS170488
HRR233739_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233739/HRR233739_f1.fastq.gz,HRS170489
HRR233739_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233739/HRR233739_r2.fastq.gz,HRS170489
HRR233740_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233740/HRR233740_f1.fastq.gz,HRS170490
HRR233740_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233740/HRR233740_r2.fastq.gz,HRS170490
HRR233741_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233741/HRR233741_f1.fastq.gz,HRS170491
HRR233741_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233741/HRR233741_r2.fastq.gz,HRS170491
HRR233742_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233742/HRR233742_f1.fastq.gz,HRS170492
HRR233742_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233742/HRR233742_r2.fastq.gz,HRS170492
HRR233743_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233743/HRR233743_f1.fastq.gz,HRS170493
HRR233743_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233743/HRR233743_r2.fastq.gz,HRS170493
HRR233744_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233744/HRR233744_f1.fastq.gz,HRS170494
HRR233744_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233744/HRR233744_r2.fastq.gz,HRS170494
HRR233745_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233745/HRR233745_f1.fastq.gz,HRS170495
HRR233745_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233745/HRR233745_r2.fastq.gz,HRS170495
HRR233746_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233746/HRR233746_f1.fastq.gz,HRS170496
HRR233746_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233746/HRR233746_r2.fastq.gz,HRS170496
HRR233747_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233747/HRR233747_f1.fastq.gz,HRS170497
HRR233747_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233747/HRR233747_r2.fastq.gz,HRS170497
HRR233748_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233748/HRR233748_f1.fastq.gz,HRS170498
HRR233748_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233748/HRR233748_r2.fastq.gz,HRS170498
HRR233749_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233749/HRR233749_f1.fastq.gz,HRS170499
HRR233749_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233749/HRR233749_r2.fastq.gz,HRS170499
HRR233750_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233750/HRR233750_f1.fastq.gz,HRS170500
HRR233750_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233750/HRR233750_r2.fastq.gz,HRS170500
HRR233751_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233751/HRR233751_f1.fastq.gz,HRS170501
HRR233751_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233751/HRR233751_r2.fastq.gz,HRS170501
HRR233752_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233752/HRR233752_f1.fastq.gz,HRS170502
HRR233752_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233752/HRR233752_r2.fastq.gz,HRS170502
HRR233753_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233753/HRR233753_f1.fastq.gz,HRS170503
HRR233753_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233753/HRR233753_r2.fastq.gz,HRS170503
HRR233754_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233754/HRR233754_f1.fastq.gz,HRS170504
HRR233754_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233754/HRR233754_r2.fastq.gz,HRS170504
HRR233755_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233755/HRR233755_f1.fastq.gz,HRS170505
HRR233755_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233755/HRR233755_r2.fastq.gz,HRS170505
HRR233756_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233756/HRR233756_f1.fastq.gz,HRS170506
HRR233756_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233756/HRR233756_r2.fastq.gz,HRS170506
HRR233757_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233757/HRR233757_f1.fastq.gz,HRS170507
HRR233757_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233757/HRR233757_r2.fastq.gz,HRS170507
HRR233758_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233758/HRR233758_f1.fastq.gz,HRS170508
HRR233758_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233758/HRR233758_r2.fastq.gz,HRS170508
HRR233759_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233759/HRR233759_f1.fastq.gz,HRS170509
HRR233759_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233759/HRR233759_r2.fastq.gz,HRS170509
HRR233760_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233760/HRR233760_f1.fastq.gz,HRS170510
HRR233760_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233760/HRR233760_r2.fastq.gz,HRS170510
HRR233761_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233761/HRR233761_f1.fastq.gz,HRS170511
HRR233761_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233761/HRR233761_r2.fastq.gz,HRS170511
HRR233762_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233762/HRR233762_f1.fastq.gz,HRS170512
HRR233762_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233762/HRR233762_r2.fastq.gz,HRS170512
HRR233763_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233763/HRR233763_f1.fastq.gz,HRS170513
HRR233763_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233763/HRR233763_r2.fastq.gz,HRS170513
HRR233764_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233764/HRR233764_f1.fastq.gz,HRS170514
HRR233764_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233764/HRR233764_r2.fastq.gz,HRS170514
HRR233765_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233765/HRR233765_f1.fastq.gz,HRS170515
HRR233765_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233765/HRR233765_r2.fastq.gz,HRS170515
HRR233766_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233766/HRR233766_f1.fastq.gz,HRS170516
HRR233766_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233766/HRR233766_r2.fastq.gz,HRS170516
HRR233767_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233767/HRR233767_f1.fastq.gz,HRS170517
HRR233767_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233767/HRR233767_r2.fastq.gz,HRS170517
HRR233768_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233768/HRR233768_f1.fastq.gz,HRS170518
HRR233768_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233768/HRR233768_r2.fastq.gz,HRS170518
HRR233769_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233769/HRR233769_f1.fastq.gz,HRS170519
HRR233769_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233769/HRR233769_r2.fastq.gz,HRS170519
HRR233770_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233770/HRR233770_f1.fastq.gz,HRS170520
HRR233770_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233770/HRR233770_r2.fastq.gz,HRS170520
HRR233771_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233771/HRR233771_f1.fastq.gz,HRS170521
HRR233771_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233771/HRR233771_r2.fastq.gz,HRS170521
HRR233772_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233772/HRR233772_f1.fastq.gz,HRS170522
HRR233772_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233772/HRR233772_r2.fastq.gz,HRS170522
HRR233773_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233773/HRR233773_f1.fastq.gz,HRS170523
HRR233773_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233773/HRR233773_r2.fastq.gz,HRS170523
HRR233774_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233774/HRR233774_f1.fastq.gz,HRS170524
HRR233774_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233774/HRR233774_r2.fastq.gz,HRS170524
HRR233775_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233775/HRR233775_f1.fastq.gz,HRS170525
HRR233775_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233775/HRR233775_r2.fastq.gz,HRS170525
